vehicle_count,avg_speed,time_of_day,weather,traffic_level
39,32,3,1,Low
14,15,6,1,Low
76,37,3,0,Medium
72,53,1,0,Medium
89,77,7,2,Medium
156,28,19,2,High
60,17,15,0,Low
144,54,0,0,High
75,36,8,1,Medium
107,25,0,0,Medium
152,51,16,1,High
88,39,0,0,Medium
79,59,5,1,Medium
158,65,22,0,High
18,14,10,0,Low
191,77,12,2,High
127,43,0,2,High
66,70,23,1,Medium
172,12,21,0,High
118,32,6,0,Medium
107,40,22,2,Medium
187,47,22,0,High
112,37,1,1,Medium
118,36,16,0,Medium
171,57,10,0,High
75,20,2,2,Medium
92,36,9,1,Medium
85,15,10,2,Medium
88,24,16,0,Medium
184,31,11,2,High
48,42,18,1,Low
78,59,11,0,Medium
189,44,15,0,High
78,32,23,2,Medium
23,71,11,2,Low
132,65,1,2,High
59,73,22,0,Low
152,38,22,1,High
180,44,20,2,High
109,53,2,2,Medium
102,71,13,0,Medium
40,62,14,2,Low
126,79,17,0,High
16,76,19,1,Low
34,42,8,2,Low
128,20,14,2,High
18,10,6,2,Low
102,54,22,1,Medium
61,57,8,2,Medium
118,42,7,0,Medium
72,67,2,1,Medium
170,79,9,0,High
131,17,10,2,High
121,72,11,1,High
154,24,5,0,High
38,38,2,2,Low
21,14,0,1,Low
85,76,11,2,Medium
153,32,20,1,High
189,50,16,2,High
124,54,0,0,High
65,31,2,1,Medium
183,13,8,1,High
54,51,16,1,Low
160,27,7,1,High
197,66,16,0,High
12,39,14,1,Low
151,41,0,0,High
45,22,17,2,Low
168,70,22,2,High
12,40,5,2,Low
29,55,14,2,Low
115,32,5,2,Medium
26,57,1,1,Low
100,42,9,2,Medium
12,29,11,2,Low
192,57,0,2,High
80,61,8,1,Medium
20,73,2,2,Low
94,63,14,1,Medium
185,33,11,1,High
97,31,2,0,Medium
106,52,12,2,Medium
10,69,1,1,Low
140,14,12,2,High
83,54,10,2,Medium
74,46,0,1,Medium
129,33,16,1,High
172,41,8,0,High
135,31,12,0,High
74,31,19,1,Medium
74,42,8,2,Medium
154,49,18,1,High
100,18,20,2,Medium
101,44,16,1,Medium
126,73,11,1,High
124,49,21,2,High
71,74,22,2,Medium
156,48,17,1,High
59,44,3,0,Low
81,69,5,0,Medium
162,54,20,1,High
15,28,6,1,Low
77,38,17,2,Medium
13,49,2,0,Low
43,35,19,0,Low
112,76,2,0,Medium
187,48,0,2,High
36,47,21,0,Low
107,49,8,2,Medium
85,67,22,0,Medium
46,40,15,1,Low
189,73,4,0,High
197,62,12,0,High
81,69,4,1,Medium
129,65,10,2,High
150,13,2,1,High
30,53,1,2,Low
104,10,2,2,Medium
164,17,22,1,High
54,42,2,2,Low
103,52,15,2,Medium
41,11,9,1,Low
15,34,15,1,Low
78,42,2,0,Medium
82,33,23,1,Medium
163,38,15,0,High
176,31,2,0,High
172,69,12,2,High
100,65,22,0,Medium
153,48,7,1,High
74,27,10,0,Medium
75,63,18,0,Medium
154,64,5,0,High
84,10,20,0,Medium
173,38,18,2,High
136,51,22,2,High
32,55,9,1,Low
196,41,4,0,High
147,42,13,0,High
62,22,3,0,Medium
87,13,2,1,Medium
40,54,3,1,Low
95,18,6,2,Medium
67,46,23,2,Medium
109,45,9,2,Medium
114,44,10,1,Medium
124,77,16,2,High
59,10,5,2,Low
30,30,12,2,Low
115,24,20,1,Medium
146,61,13,2,High
154,77,5,1,High
45,34,8,0,Low
17,66,9,1,Low
122,60,2,0,High
38,35,16,0,Low
73,66,4,0,Medium
178,20,17,1,High
163,17,3,1,High
162,17,21,2,High
170,44,12,0,High
51,54,15,0,Low
88,65,11,2,Medium
135,78,3,1,High
132,52,23,0,High
40,76,4,2,Low
122,56,17,2,High
170,50,0,1,High
183,24,12,0,High
110,34,16,0,Medium
108,39,7,0,Medium
114,21,0,2,Medium
110,66,15,0,Medium
131,18,14,2,High
19,78,9,2,Low
98,19,12,2,Medium
10,79,6,2,Low
159,24,15,1,High
49,70,19,2,Low
104,26,15,0,Medium
103,61,0,0,Medium
21,26,16,0,Low
69,12,6,2,Medium
124,19,11,1,High
71,19,19,2,Medium
184,33,19,0,High
160,68,1,0,High
37,23,13,0,Low
144,35,8,2,High
105,63,22,1,Medium
137,34,5,0,High
96,79,20,0,Medium
33,40,10,2,Low
188,75,23,2,High
72,29,11,1,Medium
35,56,15,0,Low
85,53,1,0,Medium
193,16,17,1,High
86,36,7,1,Medium
60,26,21,2,Low
165,68,3,1,High
194,79,22,0,High
150,63,8,0,High
189,11,22,0,High
30,14,4,1,Low
36,41,7,0,Low
35,30,11,1,Low
179,23,17,2,High
27,26,22,0,Low
182,28,0,1,High
142,11,16,2,High
124,14,0,0,High
192,17,21,2,High
77,14,9,1,Medium
135,72,1,2,High
158,20,9,1,High
96,56,3,0,Medium
87,47,15,2,Medium
144,21,13,0,High
123,44,15,0,High
175,46,2,2,High
89,65,5,0,Medium
40,42,0,2,Low
147,41,20,1,High
197,11,0,2,High
73,79,23,0,Medium
178,48,21,0,High
180,46,20,2,High
192,61,11,1,High
95,37,8,0,Medium
129,55,23,0,High
142,59,4,0,High
152,13,15,2,High
183,57,9,2,High
195,70,16,1,High
109,21,11,0,Medium
11,63,16,0,Low
137,11,12,0,High
170,25,20,2,High
66,26,6,0,Medium
38,27,12,0,Low
137,69,0,1,High
151,67,17,0,High
118,36,11,2,Medium
31,65,18,2,Low
140,71,1,2,High
187,31,16,2,High
149,78,4,2,High
71,70,21,2,Medium
21,42,16,0,Low
30,37,6,1,Low
89,68,16,0,Medium
86,18,18,1,Medium
29,21,3,1,Low
52,66,5,2,Low
47,46,20,1,Low
82,13,14,2,Medium
121,69,19,0,High
114,53,16,1,Medium
148,17,0,2,High
41,65,7,2,Low
167,61,2,0,High
26,11,14,1,Low
158,74,8,1,High
181,37,6,2,High
74,42,2,1,Medium
158,46,5,2,High
114,57,21,2,Medium
91,53,21,2,Medium
139,29,0,1,High
29,31,15,0,Low
96,42,6,0,Medium
194,73,9,0,High
78,37,15,1,Medium
87,63,10,1,Medium
154,77,5,1,High
93,42,16,0,Medium
198,33,13,2,High
198,47,13,1,High
45,34,0,0,Low
48,46,13,2,Low
92,39,10,0,Medium
139,51,2,1,High
109,13,10,1,Medium
172,77,10,0,High
115,30,10,0,Medium
173,59,11,1,High
66,14,23,1,Medium
157,74,21,0,High
51,71,19,1,Low
105,45,11,2,Medium
105,33,14,1,Medium
82,38,16,0,Medium
188,25,9,2,High
10,43,20,2,Low
94,69,10,1,Medium
110,57,23,2,Medium
35,66,10,1,Low
139,45,20,2,High
157,29,23,0,High
55,54,2,1,Low
164,57,3,1,High
62,67,17,2,Medium
20,12,1,0,Low
161,54,23,0,High
59,21,21,0,Low
29,36,10,2,Low
174,40,10,0,High
146,52,1,1,High
115,40,22,1,Medium
65,17,3,1,Medium
16,57,13,2,Low
112,67,21,2,Medium
193,52,17,0,High
44,72,10,0,Low
46,61,8,0,Low
186,69,0,1,High
19,13,16,1,Low
11,50,10,1,Low
119,77,13,1,Medium
145,25,6,2,High
75,66,13,2,Medium
113,75,7,0,Medium
11,27,4,0,Low
76,36,23,0,Medium
156,74,20,1,High
15,13,12,2,Low
58,33,8,0,Low
162,17,15,1,High
192,57,7,0,High
174,61,19,1,High
54,23,18,0,Low
187,69,12,1,High
168,35,11,1,High
13,78,16,1,Low
92,45,18,0,Medium
27,52,10,0,Low
76,68,6,0,Medium
123,29,1,0,High
44,72,19,1,Low
192,57,20,1,High
62,70,6,1,Medium
62,31,6,1,Medium
104,70,14,2,Medium
54,14,4,1,Low
40,40,7,1,Low
195,47,16,2,High
31,71,6,0,Low
46,24,7,2,Low
134,66,15,2,High
97,13,22,1,Medium
125,79,17,2,High
181,20,23,2,High
111,30,17,1,Medium
111,17,20,0,Medium
153,29,2,2,High
14,29,5,2,Low
172,26,2,2,High
58,72,3,2,Low
119,30,3,0,Medium
110,27,23,2,Medium
185,14,13,1,High
80,21,14,0,Medium
158,56,6,2,High
182,23,10,0,High
97,36,21,0,Medium
184,47,19,1,High
84,52,2,2,Medium
120,63,10,2,Medium
141,49,10,2,High
158,62,3,1,High
13,56,18,1,Low
19,26,8,1,Low
17,60,21,2,Low
59,24,5,2,Low
138,36,17,0,High
106,39,22,0,Medium
48,61,5,2,Low
119,16,17,0,Medium
138,16,1,0,High
69,40,12,1,Medium
146,26,12,0,High
66,70,8,1,Medium
67,67,16,1,Medium
84,48,22,0,Medium
139,47,10,1,High
151,51,5,0,High
19,61,23,2,Low
67,57,22,2,Medium
102,54,17,1,Medium
51,27,17,0,Low
15,52,3,1,Low
80,70,17,0,Medium
198,74,10,2,High
92,24,8,0,Medium
91,77,17,2,Medium
21,38,15,1,Low
35,23,7,2,Low
132,52,9,0,High
63,77,13,1,Medium
116,15,14,0,Medium
154,44,2,2,High
18,71,18,0,Low
196,34,20,1,High
127,39,19,0,High
156,27,19,1,High
190,22,20,2,High
145,57,10,0,High
97,38,13,2,Medium
153,62,23,0,High
17,12,18,1,Low
69,77,8,2,Medium
43,33,6,2,Low
44,64,10,2,Low
56,61,13,0,Low
29,19,7,1,Low
44,24,1,2,Low
102,42,12,2,Medium
120,49,2,2,Medium
93,33,8,0,Medium
140,30,5,0,High
171,75,22,1,High
10,34,15,1,Low
185,22,12,0,High
50,44,4,1,Low
142,67,15,0,High
91,68,15,1,Medium
87,19,12,2,Medium
34,40,3,1,Low
14,40,19,0,Low
49,35,8,2,Low
50,68,6,1,Low
159,72,23,0,High
166,11,15,1,High
83,68,16,1,Medium
88,51,20,2,Medium
189,16,8,2,High
134,32,0,0,High
47,65,10,2,Low
50,59,22,2,Low
154,21,14,1,High
119,21,3,0,Medium
23,25,18,2,Low
182,70,1,1,High
125,24,18,0,High
44,36,11,0,Low
50,78,16,0,Low
63,65,16,2,Medium
107,69,13,2,Medium
103,34,21,0,Medium
65,45,10,1,Medium
69,57,7,2,Medium
128,78,8,1,High
57,49,16,2,Low
153,78,5,0,High
172,60,11,2,High
141,58,8,1,High
60,77,6,0,Low
98,57,10,2,Medium
25,71,12,0,Low
69,17,11,2,Medium
147,58,5,2,High
131,54,21,0,High
79,26,21,0,Medium
164,16,8,2,High
183,51,10,2,High
19,30,11,2,Low
195,24,20,1,High
158,60,21,0,High
15,31,10,0,Low
131,54,5,0,High
197,50,21,2,High
197,25,4,1,High
61,67,4,0,Medium
12,60,2,1,Low
43,13,9,2,Low
86,42,16,2,Medium
28,50,10,1,Low
59,16,5,2,Low
119,38,21,0,Medium
82,20,21,1,Medium
185,71,10,1,High
155,13,19,1,High
20,48,3,2,Low
12,73,4,0,Low
109,20,5,1,Medium
136,23,21,0,High
93,48,11,1,Medium
100,61,19,0,Medium
131,67,21,1,High
50,30,13,2,Low
61,38,11,0,Medium
160,27,20,1,High
106,17,21,1,Medium
189,42,14,0,High
179,46,0,2,High
160,16,22,0,High
92,41,21,1,Medium
88,27,21,0,Medium
119,68,8,1,Medium
96,15,21,0,Medium
119,49,22,1,Medium
49,46,4,0,Low
22,10,17,2,Low
150,20,6,0,High
190,49,16,2,High
86,62,13,1,Medium
137,25,14,1,High
19,11,11,1,Low
79,34,16,2,Medium
61,77,17,1,Medium
190,59,3,0,High
134,42,0,2,High
174,23,10,1,High
175,37,5,1,High
26,52,9,1,Low
193,42,17,2,High
90,32,12,0,Medium
127,56,9,0,High
20,32,1,0,Low
125,61,0,1,High
25,30,3,0,Low
64,17,3,1,Medium
74,67,8,2,Medium
17,41,10,2,Low
183,74,15,1,High
157,74,11,1,High
43,11,18,0,Low
142,41,14,2,High
59,50,12,2,Low
157,52,6,2,High
40,43,2,1,Low
165,13,23,2,High
95,58,22,1,Medium
153,47,10,1,High
42,40,9,0,Low
62,76,3,1,Medium
91,11,4,0,Medium
193,18,3,2,High
178,66,20,0,High
194,12,22,1,High
199,48,23,0,High
188,38,8,2,High
102,12,15,2,Medium
65,47,2,0,Medium
39,54,18,1,Low
114,41,8,0,Medium
87,54,23,2,Medium
76,63,6,0,Medium
145,76,12,1,High
180,28,12,2,High
185,42,11,2,High
86,30,9,0,Medium
119,77,23,0,Medium
99,38,18,1,Medium
64,13,19,1,Medium
55,76,18,2,Low
34,26,16,2,Low
42,53,8,2,Low
162,52,9,0,High
187,69,0,2,High
115,19,11,0,Medium
76,23,17,1,Medium
80,19,17,2,Medium
75,69,3,0,Medium
37,29,4,1,Low
179,19,13,1,High
128,36,15,0,High
111,17,20,1,Medium
22,75,8,0,Low
79,54,17,1,Medium
98,75,19,0,Medium
71,32,0,0,Medium
93,73,20,0,Medium
113,47,23,1,Medium
97,24,5,1,Medium
59,28,18,1,Low
102,40,20,0,Medium
89,30,1,0,Medium
131,44,16,0,High
123,16,2,2,High
120,26,23,2,Medium
36,43,0,2,Low
186,15,15,0,High
144,16,19,1,High
123,15,7,2,High
114,50,4,1,Medium
108,59,1,2,Medium
133,51,2,2,High
108,14,12,2,Medium
95,42,7,0,Medium
72,69,17,2,Medium
107,37,21,1,Medium
162,74,23,2,High
136,64,10,2,High
70,73,1,1,Medium
132,33,12,0,High
105,69,11,1,Medium
45,77,2,2,Low
32,62,0,1,Low
65,32,19,1,Medium
18,50,19,1,Low
46,12,14,0,Low
119,66,6,0,Medium
14,48,18,1,Low
152,15,1,1,High
42,38,9,1,Low
87,36,7,1,Medium
40,75,0,2,Low
17,62,4,1,Low
155,49,23,1,High
31,52,0,0,Low
137,25,6,1,High
15,15,0,0,Low
85,44,0,2,Medium
66,58,16,0,Medium
23,60,1,2,Low
149,77,18,1,High
28,78,10,1,Low
66,67,10,1,Medium
131,34,5,1,High
110,59,10,1,Medium
80,69,6,1,Medium
24,56,1,1,Low
62,19,10,1,Medium
139,53,11,0,High
102,72,14,1,Medium
181,63,17,2,High
122,56,10,1,High
35,15,19,2,Low
187,67,21,2,High
137,29,21,1,High
63,60,9,1,Medium
15,64,9,0,Low
82,58,22,1,Medium
64,34,7,0,Medium
10,21,22,2,Low
96,64,13,2,Medium
107,72,20,1,Medium
127,66,20,2,High
153,29,15,0,High
58,67,10,0,Low
32,30,21,2,Low
184,76,5,1,High
82,45,16,2,Medium
123,56,4,2,High
28,23,23,1,Low
153,58,17,2,High
126,57,16,2,High
194,64,10,0,High
141,58,1,2,High
130,30,2,1,High
85,55,19,2,Medium
86,54,14,2,Medium
173,18,4,1,High
96,34,13,0,Medium
198,70,8,0,High
106,70,9,1,Medium
171,40,21,1,High
48,61,18,2,Low
34,64,7,1,Low
66,71,10,0,Medium
146,70,10,0,High
134,26,13,1,High
55,27,8,0,Low
198,38,23,2,High
47,28,12,1,Low
135,78,10,2,High
94,77,16,0,Medium
63,67,11,2,Medium
24,29,10,2,Low
138,42,20,2,High
188,51,11,1,High
73,12,12,1,Medium
44,20,19,1,Low
157,12,15,1,High
135,45,20,2,High
46,53,2,0,Low
154,20,22,2,High
117,76,11,0,Medium
82,68,7,2,Medium
108,22,14,0,Medium
179,53,5,1,High
97,43,17,0,Medium
128,21,2,2,High
24,63,0,2,Low
59,49,3,1,Low
185,37,3,0,High
65,64,22,1,Medium
103,66,17,0,Medium
22,36,3,0,Low
44,48,19,2,Low
109,46,9,2,Medium
111,49,0,0,Medium
10,33,16,1,Low
80,39,8,2,Medium
131,14,17,1,High
89,19,7,1,Medium
182,19,2,0,High
90,18,11,2,Medium
130,73,16,1,High
62,31,5,0,Medium
134,73,21,0,High
163,47,1,1,High
112,66,20,0,Medium
109,57,11,0,Medium
29,35,13,0,Low
52,57,5,2,Low
125,75,12,0,High
191,74,4,0,High
41,16,13,1,Low
195,60,16,2,High
178,47,9,1,High
170,20,21,0,High
58,53,17,0,Low
170,76,19,2,High
81,52,23,1,Medium
194,44,19,2,High
101,63,2,1,Medium
92,21,9,2,Medium
59,76,17,0,Low
48,53,12,1,Low
10,60,21,2,Low
93,32,23,2,Medium
166,15,18,1,High
115,40,3,2,Medium
68,54,19,0,Medium
30,67,11,2,Low
53,11,5,2,Low
112,26,22,2,Medium
38,28,4,0,Low
184,70,10,2,High
142,19,10,0,High
103,18,8,1,Medium
26,54,16,1,Low
107,49,3,0,Medium
170,73,4,0,High
22,13,16,2,Low
149,28,10,0,High
107,37,6,0,Medium
52,29,0,0,Low
120,68,12,1,Medium
32,21,22,0,Low
140,71,8,0,High
193,76,6,0,High
75,25,5,1,Medium
101,71,18,1,Medium
95,55,14,2,Medium
183,74,0,1,High
76,28,1,0,Medium
154,44,8,2,High
74,22,19,2,Medium
75,59,3,1,Medium
188,22,23,0,High
165,55,9,2,High
122,50,4,0,High
137,48,4,0,High
79,29,21,1,Medium
99,45,15,0,Medium
51,49,21,0,Low
35,52,17,1,Low
115,45,22,2,Medium
156,12,22,0,High
15,17,2,0,Low
38,31,3,2,Low
55,38,8,1,Low
119,36,16,1,Medium
188,50,13,2,High
80,59,16,1,Medium
42,39,20,2,Low
57,38,20,2,Low
76,22,11,0,Medium
23,20,22,0,Low
15,42,15,2,Low
192,46,19,0,High
189,29,1,2,High
145,67,10,0,High
36,50,8,2,Low
87,28,17,1,Medium
37,72,4,1,Low
119,25,5,0,Medium
159,51,15,0,High
136,63,3,1,High
191,74,13,2,High
35,45,23,0,Low
71,25,10,0,Medium
30,44,13,0,Low
118,68,9,2,Medium
75,51,20,0,Medium
129,58,5,2,High
132,11,12,1,High
157,79,12,1,High
160,51,20,1,High
158,49,6,1,High
92,53,8,1,Medium
150,46,8,2,High
108,48,22,1,Medium
73,32,10,1,Medium
155,19,20,0,High
17,68,10,2,Low
181,50,19,0,High
92,63,22,1,Medium
43,40,17,1,Low
191,48,7,2,High
148,17,1,0,High
140,74,21,2,High
123,58,13,0,High
72,37,10,2,Medium
41,44,5,2,Low
31,18,19,1,Low
130,40,11,2,High
107,22,22,2,Medium
72,16,9,0,Medium
30,20,12,0,Low
67,29,6,0,Medium
108,12,21,2,Medium
113,19,4,1,Medium
172,32,12,1,High
195,58,5,2,High
169,18,19,1,High
113,46,14,2,Medium
60,11,17,2,Low
157,70,12,2,High
133,49,7,0,High
133,72,17,0,High
164,27,5,2,High
119,14,16,2,Medium
161,56,5,0,High
24,69,14,1,Low
68,17,3,1,Medium
73,53,20,1,Medium
51,53,19,1,Low
127,26,19,2,High
151,66,11,0,High
43,12,8,2,Low
146,46,18,1,High
48,41,0,0,Low
96,49,6,1,Medium
166,69,22,2,High
183,47,2,0,High
164,68,18,0,High
88,57,20,2,Medium
192,77,18,1,High
125,27,6,0,High
98,54,9,0,Medium
47,79,0,2,Low
90,44,11,0,Medium
173,60,17,0,High
165,17,14,2,High
69,47,4,1,Medium
191,45,1,1,High
168,46,14,0,High
92,18,19,1,Medium
17,35,21,1,Low
109,31,20,2,Medium
102,70,6,0,Medium
160,35,19,0,High
121,39,7,0,High
22,77,6,0,Low
12,25,7,1,Low
167,20,3,0,High
157,76,5,2,High
165,28,10,1,High
49,18,10,1,Low
87,37,4,1,Medium
142,48,0,2,High
111,67,5,2,Medium
99,26,12,0,Medium
40,38,8,2,Low
180,42,16,2,High
184,68,22,1,High
67,43,7,0,Medium
145,78,0,1,High
41,66,16,2,Low
140,60,5,2,High
32,26,0,1,Low
56,15,5,1,Low
12,73,21,1,Low
89,64,19,0,Medium
99,70,16,0,Medium
12,16,10,2,Low
156,62,15,2,High
42,15,1,2,Low
70,12,8,0,Medium
94,54,7,0,Medium
143,74,3,2,High
149,43,8,2,High
195,32,23,0,High
118,58,14,1,Medium
50,21,13,0,Low
129,28,22,2,High
33,43,6,0,Low
59,33,2,2,Low
127,68,8,2,High
62,25,12,2,Medium
22,77,17,1,Low
117,39,20,2,Medium
78,18,6,0,Medium
54,37,16,2,Low
29,44,11,1,Low
60,32,18,0,Low
90,28,14,2,Medium
104,51,19,2,Medium
188,71,7,0,High
128,49,18,0,High
35,49,22,2,Low
61,75,13,1,Medium
58,46,18,0,Low
179,71,11,0,High
149,69,21,1,High
199,11,10,0,High
127,49,1,0,High
158,55,17,0,High
192,65,7,1,High
16,64,11,1,Low
63,52,21,0,Medium
154,69,20,2,High
164,20,2,1,High
67,59,3,1,Medium
191,63,19,0,High
16,31,13,0,Low
150,33,2,1,High
138,59,0,1,High
107,34,13,0,Medium
84,23,0,2,Medium
108,51,5,2,Medium
108,26,5,1,Medium
92,51,23,1,Medium
131,76,13,0,High
117,75,4,2,Medium
14,77,12,1,Low
120,12,8,0,Medium
56,74,15,1,Low
134,76,23,1,High
158,41,14,2,High
45,64,5,1,Low
197,23,0,0,High
176,28,18,1,High
141,67,13,0,High
64,47,9,2,Medium
44,57,12,1,Low
120,55,9,1,Medium
40,48,20,2,Low
15,48,15,0,Low
30,69,8,1,Low
140,16,13,0,High
91,70,14,1,Medium
180,59,7,1,High
116,25,9,0,Medium
78,79,8,0,Medium
92,33,14,2,Medium
158,69,15,1,High
107,18,4,0,Medium
147,30,14,1,High
154,73,14,0,High
103,47,17,2,Medium
197,42,18,1,High
12,29,18,0,Low
168,71,11,0,High
46,30,18,0,Low
111,16,14,2,Medium
81,34,10,0,Medium
61,56,3,2,Medium
59,33,18,2,Low
131,72,19,1,High
166,61,5,0,High
32,18,14,1,Low
92,60,15,0,Medium
196,17,9,1,High
168,67,15,0,High
144,43,17,2,High
140,50,10,0,High
72,67,5,1,Medium
130,34,13,0,High
13,76,8,2,Low
137,41,6,0,High
131,46,15,0,High
30,47,11,0,Low
109,41,17,1,Medium
137,47,7,1,High
180,47,23,2,High
147,67,11,2,High
110,59,9,1,Medium
30,51,1,0,Low
17,31,16,0,Low
104,44,20,1,Medium
31,60,19,1,Low
185,17,23,0,High
116,66,20,0,Medium
18,36,1,1,Low
28,57,5,0,Low
189,45,0,0,High
79,31,16,2,Medium
74,72,11,0,Medium
166,28,16,1,High
57,39,13,1,Low
198,18,19,1,High
32,75,12,1,Low
106,36,2,0,Medium
22,42,17,0,Low
114,74,0,0,Medium
199,75,5,0,High
152,60,18,2,High
186,43,0,0,High
92,32,14,2,Medium
55,59,6,2,Low
33,21,9,2,Low
159,44,11,0,High
33,23,2,1,Low
183,49,3,1,High
191,50,19,1,High
171,18,9,1,High
133,14,15,0,High
193,37,0,2,High
44,40,11,1,Low
136,49,2,0,High
27,47,7,0,Low
135,61,6,2,High
106,36,5,1,Medium
37,11,22,2,Low
145,49,10,2,High
120,37,21,0,Medium
69,20,0,1,Medium
47,23,0,2,Low
163,63,10,0,High
172,54,17,1,High
26,48,7,0,Low
155,10,18,0,High
87,40,8,2,Medium
68,36,3,0,Medium
72,72,17,0,Medium
171,61,12,0,High
136,78,0,0,High
64,29,0,2,Medium
52,21,13,1,Low
143,28,8,1,High
115,56,10,2,Medium
28,45,7,0,Low
117,79,14,2,Medium
191,66,19,0,High
55,39,21,2,Low
131,50,18,0,High
99,66,17,1,Medium
37,66,11,0,Low
168,34,7,0,High
39,10,12,1,Low
157,44,19,2,High
167,48,23,0,High
105,40,23,0,Medium
18,33,8,1,Low
99,56,6,1,Medium
133,69,9,1,High
184,47,12,0,High
82,52,11,0,Medium
175,29,22,2,High
60,42,1,0,Low
108,19,19,2,Medium
185,15,17,2,High
150,52,14,1,High
34,44,8,1,Low
128,25,10,1,High
151,11,12,1,High
161,50,8,0,High
37,19,18,1,Low
15,35,17,1,Low
42,37,11,0,Low
121,10,3,2,High
18,34,13,1,Low
60,67,5,1,Low
46,15,15,1,Low
151,66,23,1,High
129,51,13,1,High
109,39,2,0,Medium
190,57,12,0,High
161,61,19,0,High
61,48,19,1,Medium
31,71,7,1,Low
118,36,4,2,Medium
87,28,11,2,Medium
96,30,1,2,Medium
196,63,4,2,High
188,40,6,1,High
181,75,13,1,High
95,23,9,0,Medium
104,60,18,0,Medium
66,50,15,0,Medium
82,71,13,2,Medium
168,28,3,1,High
39,42,1,1,Low
170,38,0,2,High
156,62,15,1,High
186,19,1,2,High
128,21,13,2,High
131,70,23,2,High
168,28,17,1,High
119,75,16,2,Medium
169,73,3,2,High
47,57,4,1,Low
78,36,10,0,Medium
123,41,13,1,High
70,33,4,2,Medium
155,60,5,1,High
173,11,21,0,High
103,78,15,1,Medium
75,41,15,2,Medium
160,33,13,2,High
81,57,11,1,Medium
17,51,22,2,Low
125,23,13,2,High
86,22,7,2,Medium
152,76,9,0,High
109,42,15,1,Medium
33,77,22,1,Low
118,37,20,0,Medium
87,57,21,2,Medium
188,44,7,0,High
174,79,17,1,High
142,24,2,0,High
151,52,21,1,High
51,54,0,2,Low
62,10,17,2,Medium
70,74,5,2,Medium
84,68,21,1,Medium
102,23,13,1,Medium
149,11,0,2,High
187,69,18,2,High
14,75,21,0,Low
38,13,22,1,Low
114,37,22,0,Medium
176,44,18,1,High
128,25,9,2,High
40,56,16,0,Low
78,47,3,0,Medium
145,73,8,2,High
70,64,21,0,Medium
64,59,0,2,Medium
96,79,4,0,Medium
71,23,20,1,Medium
54,29,16,0,Low
103,39,16,0,Medium
69,50,14,1,Medium
64,13,11,0,Medium
112,60,20,1,Medium
153,19,7,2,High
48,62,5,2,Low
19,18,11,1,Low
139,15,17,2,High
143,44,14,1,High
118,16,15,2,Medium
179,77,0,2,High
86,45,22,2,Medium
133,44,0,1,High
58,70,3,1,Low
90,53,16,2,Medium
94,15,14,0,Medium
22,42,23,2,Low
57,39,17,0,Low
155,52,8,1,High
75,70,4,2,Medium
97,54,3,0,Medium
47,68,1,1,Low
80,13,3,0,Medium
49,76,23,2,Low
22,41,18,1,Low
170,51,3,2,High
110,27,3,2,Medium
177,66,13,0,High
24,22,2,2,Low
156,67,17,2,High
22,34,7,0,Low
78,25,17,1,Medium
120,78,19,2,Medium
110,21,23,0,Medium
158,62,22,0,High
34,67,20,2,Low
79,32,3,1,Medium
173,71,2,0,High
145,63,19,1,High
123,11,6,0,High
43,28,23,0,Low
40,24,3,1,Low
144,75,10,1,High
30,67,3,1,Low
185,32,13,0,High
120,63,9,2,Medium
198,42,8,0,High
146,32,17,0,High
169,17,10,0,High
74,20,10,1,Medium
123,24,6,1,High
191,24,10,0,High
102,33,2,2,Medium
60,38,16,1,Low
41,74,8,0,Low
75,27,4,2,Medium
172,47,4,1,High
26,50,20,2,Low
92,25,5,1,Medium
196,59,16,1,High
181,63,18,0,High
188,44,8,2,High
90,56,4,2,Medium
147,14,21,2,High
35,11,0,0,Low
90,18,10,2,Medium
195,65,6,2,High
41,67,6,1,Low
36,10,2,2,Low
181,59,21,1,High
69,19,6,1,Medium
131,79,12,0,High
182,38,9,1,High
189,23,9,1,High
87,69,10,0,Medium
187,14,18,0,High
47,46,3,2,Low
90,75,23,2,Medium
51,65,16,2,Low
104,26,13,1,Medium
38,59,23,0,Low
132,65,18,2,High
181,57,7,1,High
60,28,18,2,Low
183,66,0,1,High
151,14,8,1,High
79,13,14,0,Medium
112,50,9,1,Medium
196,71,10,2,High
112,74,8,2,Medium
186,59,18,2,High
152,32,21,1,High
158,28,23,0,High
78,21,18,2,Medium
184,36,3,1,High
53,49,10,1,Low
138,53,19,1,High
153,38,23,2,High
90,38,19,2,Medium
89,37,9,2,Medium
131,26,2,2,High
27,71,21,0,Low
198,27,0,0,High
100,25,4,1,Medium
30,77,3,1,Low
66,33,22,1,Medium
154,56,2,2,High
133,21,8,2,High
125,76,15,1,High
36,20,15,1,Low
45,20,12,1,Low
49,46,18,1,Low
160,17,22,0,High
103,49,19,0,Medium
144,47,17,1,High
98,27,9,1,Medium
30,27,10,2,Low
193,18,1,1,High
83,57,5,2,Medium
194,65,16,1,High
180,29,6,0,High
165,75,21,1,High
66,79,8,1,Medium
25,61,10,0,Low
132,14,9,2,High
60,56,18,1,Low
117,15,9,0,Medium
83,17,15,2,Medium
88,56,17,0,Medium
185,38,16,1,High
124,73,5,1,High
191,35,1,2,High
190,43,4,0,High
26,43,6,1,Low
189,67,11,2,High
68,73,10,0,Medium
184,25,22,1,High
